Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Branch length score	Pct	Conserved
hsa_circ_0022393	miR-2114-3p/6823-3p	9606	167	173	167	173	126	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-2116-3p	9606	240	246	240	246	127	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-2116-3p	9606	531	536	531	536	128	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-2116-3p	9606	69	74	69	74	129	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-215-3p	9606	731	736	731	736	130	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-215-3p	9606	738	743	738	743	131	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-216a-5p	9606	367	372	367	372	132	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-216b-5p	9606	367	372	367	372	133	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-221-5p/8073	9606	404	409	404	409	134	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-223-3p	9606	729	735	729	735	135	7mer-1a	x	7mer-1a	0	0.0	
hsa_circ_0022393	miR-2276-3p	9606	305	311	305	311	136	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-2276-5p	9606	574	581	574	581	137	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-2277-3p	9606	224	229	224	229	138	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-2355-5p	9606	191	197	191	197	139	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-2392	9606	202	208	202	208	140	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-2392	9606	64	69	64	69	141	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-2682-3p/6781-3p	9606	165	171	165	171	142	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-2861	9606	280	285	280	285	143	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-296-5p	9606	127	132	127	132	144	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-296-5p	9606	270	275	270	275	145	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-296-5p	9606	665	670	665	670	146	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-296-5p	9606	686	691	686	691	147	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-30-3p/6788-5p	9606	199	204	199	204	148	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3064-5p/6504-5p	9606	403	408	403	408	149	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-3065-3p	9606	495	500	495	500	150	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3074-5p	9606	562	568	562	568	151	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3122/3913-5p	9606	441	447	441	447	152	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3123	9606	301	306	301	306	153	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3126-3p	9606	464	469	464	469	154	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3126-3p	9606	802	807	802	807	155	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3127-5p	9606	709	714	709	714	156	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3130-5p/4482-5p	9606	594	599	594	599	157	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3130-5p/4482-5p	9606	653	659	653	659	158	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3136-3p/7155-3p	9606	126	131	126	131	159	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3136-3p/7155-3p	9606	269	274	269	274	160	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3136-3p/7155-3p	9606	499	504	499	504	161	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3136-3p/7155-3p	9606	664	669	664	669	162	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3136-3p/7155-3p	9606	692	698	692	698	163	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3140-5p	9606	538	543	538	543	164	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3148	9606	81	86	81	86	165	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3152-3p	9606	482	489	482	489	166	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3154	9606	765	770	765	770	167	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3157-3p	9606	556	561	556	561	168	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3157-5p	9606	543	548	543	548	169	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3157-5p	9606	601	606	601	606	170	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3158-3p	9606	73	78	73	78	171	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3162-3p	9606	408	415	408	415	172	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3169	9606	761	767	761	767	173	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3171	9606	26	31	26	31	174	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3171	9606	47	52	47	52	175	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3173-3p/6891-5p	9606	76	82	76	82	176	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3173-5p/6799-3p	9606	419	424	419	424	177	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3173-5p/6799-3p	9606	488	493	488	493	178	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3173-5p/6799-3p	9606	540	545	540	545	179	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3185	9606	35	41	35	41	180	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3185	9606	766	773	766	773	181	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3189-5p	9606	586	592	586	592	182	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3194-3p	9606	432	437	432	437	183	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3202	9606	697	702	697	702	184	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-324-3p/1913	9606	557	562	557	562	185	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-326/330-5p	9606	431	436	431	436	186	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-326/330-5p	9606	572	578	572	578	187	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-33-3p/515-3p/519-3p	9606	139	144	139	144	188	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-330-3p	9606	108	113	108	113	189	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-330-3p	9606	152	157	152	157	190	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-331-3p	9606	219	224	219	224	191	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-335-5p	9606	303	308	303	308	192	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-338-3p	9606	496	501	496	501	193	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-338-3p	9606	528	533	528	533	194	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-339-5p	9606	487	492	487	492	195	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-34-5p/2682-5p	9606	513	518	513	518	196	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-345-3p	9606	418	423	418	423	197	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-345-3p	9606	538	544	538	544	198	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-345-5p	9606	416	421	416	421	199	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-34a-3p	9606	113	119	113	119	200	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3614-3p	9606	659	664	659	664	201	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3616-3p	9606	129	134	129	134	202	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3616-3p	9606	74	79	74	79	203	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3617-3p	9606	112	118	112	118	204	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3619-3p	9606	439	444	439	444	205	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3622-3p	9606	582	587	582	587	206	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3622-3p	9606	96	102	96	102	207	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3622a-5p	9606	100	105	100	105	208	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3649	9606	440	446	440	446	209	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3653-5p	9606	376	381	376	381	210	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3657	9606	788	793	788	793	211	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3659	9606	714	720	714	720	212	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3663-5p	9606	373	378	373	378	213	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3665	9606	476	482	476	482	214	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3665	9606	745	752	745	752	215	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3668	9606	25	30	25	30	216	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3668	9606	46	51	46	51	217	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3677-5p	9606	323	328	323	328	218	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3678-3p	9606	472	477	472	477	219	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3681-5p/6849-5p	9606	133	138	133	138	220	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3681-5p/6849-5p	9606	181	186	181	186	221	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3681-5p/6849-5p	9606	726	731	726	731	222	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3689/6851-5p	9606	197	202	197	202	223	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3692-5p	9606	560	565	560	565	224	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-370-3p/6893-3p	9606	560	567	560	567	225	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-371a-3p	9606	139	144	139	144	226	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-371b-3p	9606	139	144	139	144	227	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-374b-3p	9606	479	485	479	485	228	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-382-5p	9606	88	93	88	93	229	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-383-3p	9606	495	500	495	500	230	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-383-5p.2	9606	469	474	469	474	231	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-3907	9606	809	816	809	816	232	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3912-5p	9606	787	792	787	792	233	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3914	9606	311	317	311	317	234	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3915	9606	83	90	83	90	235	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3925-3p	9606	316	322	316	322	236	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3925-3p	9606	644	650	644	650	237	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3925-5p	9606	300	306	300	306	238	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-3928-3p	9606	83	89	83	89	239	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3928-5p/6806-3p	9606	534	541	534	541	240	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-3934-3p	9606	291	296	291	296	241	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3934-3p	9606	545	551	545	551	242	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-3934-5p	9606	476	481	476	481	243	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3934-5p	9606	745	750	745	750	244	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3936	9606	211	216	211	216	245	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3938	9606	674	679	674	679	246	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3943	9606	221	226	221	226	247	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3943	9606	509	514	509	514	248	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3944-5p	9606	473	478	473	478	249	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-3973	9606	184	189	184	189	250	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-411-5p.2	9606	22	27	22	27	251	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-423-5p/3184-5p	9606	722	727	722	727	252	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4269/6715-5p	9606	100	106	100	106	253	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-4269/6715-5p	9606	188	193	188	193	254	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4269/6715-5p	9606	514	519	514	519	255	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4270/4441/6754-5p	9606	122	127	122	127	256	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4270/4441/6754-5p	9606	708	714	708	714	257	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-4276	9606	141	146	141	146	258	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4276	9606	728	733	728	733	259	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4281	9606	194	199	194	199	260	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4286	9606	585	590	585	590	261	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4291	9606	112	117	112	117	262	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4299	9606	428	435	428	435	263	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-4314	9606	463	468	463	468	264	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-4314	9606	572	577	572	577	265	6mer	x	6mer	0	NA	
